timestamp,close,high,low,trade_count,open,volume,vwap,ticker
2024-01-02 05:00:00+00:00,93.7,95.92,93.62,3196,95.405,203559,94.195491,SBUX
2024-01-03 05:00:00+00:00,93.23,94.18,93.09,2276,93.89,174594,93.539349,SBUX
2024-01-04 05:00:00+00:00,93.56,94.58,93.0,2002,93.05,111585,93.861116,SBUX
2024-01-05 05:00:00+00:00,93.0,93.575,92.54,3214,93.37,227638,93.093994,SBUX
2024-01-08 05:00:00+00:00,94.16,94.56,92.985,3118,93.1,217628,93.842319,SBUX
2024-01-09 05:00:00+00:00,93.08,93.63,92.875,2069,93.63,151291,93.100153,SBUX
2024-01-10 05:00:00+00:00,93.48,93.68,93.05,1824,93.205,127486,93.327159,SBUX
2024-01-11 05:00:00+00:00,92.92,93.58,91.915,3108,93.39,221365,92.53913,SBUX
2024-01-12 05:00:00+00:00,91.97,93.33,91.78,2462,93.295,146564,92.222667,SBUX
2024-01-16 05:00:00+00:00,92.72,92.73,91.74,3202,92.63,165205,92.248395,SBUX
2024-01-17 05:00:00+00:00,91.77,91.94,91.4,3194,91.65,192826,91.66248,SBUX
2024-01-18 05:00:00+00:00,93.33,93.425,91.96,2721,92.09,213193,92.819256,SBUX
2024-01-19 05:00:00+00:00,93.87,94.18,92.65,2810,93.165,183670,93.585614,SBUX
2024-01-22 05:00:00+00:00,93.065,93.8,92.88,2370,93.8,199846,93.265667,SBUX
2024-01-23 05:00:00+00:00,91.925,93.63,91.775,4797,93.2,231506,92.403415,SBUX
2024-01-24 05:00:00+00:00,92.05,92.84,91.995,3959,92.475,313725,92.347376,SBUX
2024-01-25 05:00:00+00:00,92.625,92.635,91.72,3921,92.22,419992,92.251253,SBUX
2024-01-26 05:00:00+00:00,92.79,93.46,92.42,2649,92.98,248289,92.866651,SBUX
2024-01-29 05:00:00+00:00,93.83,93.925,92.28,6019,93.05,469447,93.179473,SBUX
2024-01-30 05:00:00+00:00,94.095,94.65,92.62,5212,93.045,440449,93.971243,SBUX
2024-01-31 05:00:00+00:00,93.04,98.36,93.03,8817,98.175,831686,94.557301,SBUX
2024-02-01 05:00:00+00:00,93.16,93.585,91.87,4208,93.07,570893,92.781421,SBUX
2024-02-02 05:00:00+00:00,92.95,93.605,91.68,2832,92.755,234135,92.676112,SBUX
2024-02-05 05:00:00+00:00,92.48,92.845,91.91,2598,92.71,173499,92.446707,SBUX
2024-02-06 05:00:00+00:00,95.67,95.685,92.405,4406,92.405,399168,94.751637,SBUX
2024-02-07 05:00:00+00:00,95.33,96.58,94.46,3055,96.225,231990,95.154518,SBUX
2024-02-08 05:00:00+00:00,96.605,96.69,93.94,3141,95.14,239900,95.603644,SBUX
2024-02-09 05:00:00+00:00,97.28,97.97,96.35,3351,96.52,250119,97.460069,SBUX
2024-02-12 05:00:00+00:00,95.51,97.13,95.39,3427,96.955,280048,96.036807,SBUX
2024-02-13 05:00:00+00:00,93.92,95.53,93.395,2255,94.835,144665,94.240226,SBUX
2024-02-14 05:00:00+00:00,94.05,94.33,93.8,1741,94.07,96837,94.057208,SBUX
2024-02-15 05:00:00+00:00,93.24,94.24,93.005,3527,94.24,182507,93.310287,SBUX
2024-02-16 05:00:00+00:00,93.23,94.175,92.76,2243,93.11,132362,93.27068,SBUX
2024-02-20 05:00:00+00:00,93.5,94.11,93.095,3025,93.4,211983,93.472381,SBUX
2024-02-21 05:00:00+00:00,95.01,95.765,93.98,3300,94.04,242566,95.01314,SBUX
2024-02-22 05:00:00+00:00,95.73,96.06,94.16,3374,94.76,282258,95.248194,SBUX
2024-02-23 05:00:00+00:00,95.615,96.91,95.6,2835,95.86,201617,96.216522,SBUX
2024-02-26 05:00:00+00:00,94.26,95.555,94.25,3080,95.295,180507,94.893913,SBUX
2024-02-27 05:00:00+00:00,94.14,94.6,93.6,2717,94.335,135739,93.986083,SBUX
2024-02-28 05:00:00+00:00,92.99,93.97,92.78,2443,93.97,112704,93.147347,SBUX
2024-02-29 05:00:00+00:00,94.85,95.06,94.01,2453,94.565,153054,94.475837,SBUX
2024-03-01 05:00:00+00:00,93.15,94.53,92.92,2474,94.41,158739,93.323802,SBUX
